Scenario,Model,Fold,MAE,RMSE,R2
Full,Dummy,1,1.1024749163879601,1.2157929281874755,-0.3857679164662584
Full,Dummy,2,0.9108138238573024,1.0190285850040175,-0.08894636855630234
Full,Dummy,3,1.119241917502787,1.3463586956456832,-3.283371338658192e-05
Full,Dummy,4,1.1371683389074692,1.3282872452194823,-4.553684973651606e-05
Full,Dummy,5,1.1372972972972972,1.2421317527908586,-1.3462573482674562
Full,Linear,1,0.18063379532421042,0.28090384825526493,0.9260247137831716
Full,Linear,2,0.18609616967001189,0.3009086062844558,0.9050482494378632
Full,Linear,3,0.24421047969285842,0.4509325640367269,0.8878198806039973
Full,Linear,4,0.22096925144760093,0.34046575965417614,0.9342973850342567
Full,Linear,5,0.22939777164678193,0.3377282422270854,0.8265496911931308
Full,Ridge,1,0.18350991313055728,0.25861465038630566,0.9372985586927208
Full,Ridge,2,0.2006305071984917,0.3068730346117711,0.9012467917661102
Full,Ridge,3,0.21897256062463474,0.39658933558605747,0.9132289678608453
Full,Ridge,4,0.21044390470052557,0.3134871133034541,0.9442974398008619
Full,Ridge,5,0.22477445907898055,0.3277298849928195,0.83666757531649
Full,Random Forest,1,0.05926666666666667,0.1811123040178846,0.9692484375
Full,Random Forest,2,0.08113333333333331,0.24220308283201794,0.9384832913870246
Full,Random Forest,3,0.1420666666666666,0.3758798566918247,0.9220545434484112
Full,Random Forest,4,0.14839999999999998,0.3722275289837298,0.9214668984280532
Full,Random Forest,5,0.044797297297297325,0.18996888080860955,0.945121119133574
Pre-sleep,Dummy,1,1.1024749163879601,1.2157929281874755,-0.3857679164662584
Pre-sleep,Dummy,2,0.9108138238573024,1.0190285850040175,-0.08894636855630234
Pre-sleep,Dummy,3,1.119241917502787,1.3463586956456832,-3.283371338658192e-05
Pre-sleep,Dummy,4,1.1371683389074692,1.3282872452194823,-4.553684973651606e-05
Pre-sleep,Dummy,5,1.1372972972972972,1.2421317527908586,-1.3462573482674562
Pre-sleep,Linear,1,0.18451747980019964,0.27896748682794786,0.9270410699620926
Pre-sleep,Linear,2,0.20384995333829892,0.3165291381803833,0.8949342540717112
Pre-sleep,Linear,3,0.2575935350356852,0.3994405484639029,0.91197683124422
Pre-sleep,Linear,4,0.2140780088677972,0.35578455075623394,0.9282519763319139
Pre-sleep,Linear,5,0.24522924079693875,0.3619048997308359,0.8008275599234255
Pre-sleep,Ridge,1,0.18099718136129403,0.255967910109125,0.938575402182219
Pre-sleep,Ridge,2,0.21399127137167614,0.3200139614827155,0.8926080793373943
Pre-sleep,Ridge,3,0.23161031106455152,0.36396140814045813,0.926919186473846
Pre-sleep,Ridge,4,0.195400381265607,0.3239804450900322,0.9405059729439604
Pre-sleep,Ridge,5,0.23714194095343794,0.34634293713788067,0.8175881746024466
Pre-sleep,Random Forest,1,0.08046666666666664,0.2510092959765965,0.9409321875000001
Pre-sleep,Random Forest,2,0.13000000000000006,0.3447095395643508,0.875393596196868
Pre-sleep,Random Forest,3,0.12979999999999994,0.34991665674366895,0.9324505320714006
Pre-sleep,Random Forest,4,0.1752666666666667,0.41715504711477885,0.9013650619709794
Pre-sleep,Random Forest,5,0.061824324324324276,0.24030175287007874,0.9121879339072481
Deployment,Dummy,1,1.1024749163879601,1.2157929281874755,-0.3857679164662584
Deployment,Dummy,2,0.9108138238573024,1.0190285850040175,-0.08894636855630234
Deployment,Dummy,3,1.119241917502787,1.3463586956456832,-3.283371338658192e-05
Deployment,Dummy,4,1.1371683389074692,1.3282872452194823,-4.553684973651606e-05
Deployment,Dummy,5,1.1372972972972972,1.2421317527908586,-1.3462573482674562
Deployment,Linear,1,0.19419923353760446,0.297672975462757,0.916928874699202
Deployment,Linear,2,0.19765050500099343,0.3128838756902773,0.8973402688056116
Deployment,Linear,3,0.2805417417419785,0.41513877873468497,0.904922160008586
Deployment,Linear,4,0.1875956386673148,0.3389297562861381,0.9348888794043715
Deployment,Linear,5,0.15590706092108186,0.2724854108105943,0.8870914507367703
Deployment,Ridge,1,0.19123888423829857,0.2763994951339682,0.928378111646582
Deployment,Ridge,2,0.20555153646302082,0.3179372973476956,0.893997352092327
Deployment,Ridge,3,0.2587229824124923,0.38558154149059676,0.9179789791189938
Deployment,Ridge,4,0.1815592873611306,0.31737013876985026,0.9429089678528602
Deployment,Ridge,5,0.1539918217182621,0.26471617891343596,0.8934382635787749
Deployment,Random Forest,1,0.07580000000000003,0.24682584953768524,0.9428846875
Deployment,Random Forest,2,0.13259999999999997,0.3480407064314939,0.872973643736018
Deployment,Random Forest,3,0.12160000000000001,0.33178607565719215,0.9392691987053746
Deployment,Random Forest,4,0.17106666666666656,0.4094467812386204,0.9049765719467956
Deployment,Random Forest,5,0.06135135135135136,0.23780670097166534,0.9140019716745348
