Scenario,Model,Mean_MAE,Std_MAE,Mean_RMSE,Std_RMSE,Mean_R2,Std_R2
Deployment,Dummy,1.081399258790563,0.09645001526558783,1.2303198413695033,0.1304388509928723,-0.36421000077062804,0.5713782830715453
Deployment,Linear,0.20317883597379463,0.04629706158894082,0.32742215939689034,0.05463756051776963,0.9082343267309083,0.01845760340872469
Deployment,Random Forest,0.11248360360360359,0.0443845337894245,0.3147812227673314,0.07228405078671488,0.9148212147125445,0.028434441146178227
Deployment,Ridge,0.19821290243864087,0.038719533613127764,0.3124009303311094,0.0473832383231279,0.9153403348579076,0.02163445880988435
Full,Dummy,1.081399258790563,0.09645001526558783,1.2303198413695033,0.1304388509928723,-0.36421000077062804,0.5713782830715453
Full,Linear,0.2122614935562927,0.027727018677529736,0.3421878040915418,0.06577988172523261,0.8959479840104839,0.04283774671507536
Full,Random Forest,0.09513279279279277,0.047582060316083204,0.27227833066681334,0.09580413472567757,0.9392748579794127,0.01966521975696742
Full,Ridge,0.20766626894663798,0.016288562944466373,0.3206588037760816,0.04976545839249433,0.9065478666874057,0.04279786489811412
Pre-sleep,Dummy,1.081399258790563,0.09645001526558783,1.2303198413695033,0.1304388509928723,-0.36421000077062804,0.5713782830715453
Pre-sleep,Linear,0.22105364356778395,0.029996420076835003,0.3425253247918608,0.0461143095161741,0.8926063383066726,0.053057378385058765
Pre-sleep,Random Forest,0.11547153153153152,0.044986673015073975,0.3206184584538948,0.07425342796633454,0.9124658623292993,0.026016228696824056
Pre-sleep,Ridge,0.21182821720331332,0.023755111111378773,0.3220533323920423,0.040992156405256566,0.9032393631079734,0.051592926326636805
