Model,Fold,MAE,RMSE,R2
Dummy Regressor,1,1.0208695652173914,1.1647955109076544,-0.052069310042357264
Dummy Regressor,2,1.2449944258639913,1.391886240977619,-0.3072910996285134
Dummy Regressor,3,0.9425641025641027,1.082221398706633,-0.16684692728999195
Dummy Regressor,4,0.9722630992196211,1.1516386878515512,-0.1435128952912308
Dummy Regressor,5,1.1559459459459458,1.314341886494756,-0.11291298823529394
Linear Regression,1,0.19464682427365715,0.3451559502520544,0.9076204792227057
Linear Regression,2,0.13122439361911462,0.25471688338078463,0.9562195435375943
Linear Regression,3,0.17991253618953712,0.30879794008335654,0.9049985044503278
Linear Regression,4,0.23594338451348515,0.37949239978683974,0.8758305551172813
Linear Regression,5,0.13491322068742537,0.24209485825185945,0.9622414206980557
Ridge Regression,1,0.18228032766836197,0.27492187101952825,0.9413911017642074
Ridge Regression,2,0.13222347763628264,0.2519378533386382,0.957169645400677
Ridge Regression,3,0.17859032334306635,0.29007214903464784,0.9161711095454513
Ridge Regression,4,0.2340922555129117,0.3596311680460496,0.8884875849486996
Ridge Regression,5,0.13819994995655088,0.251582626033767,0.9592238887240088
Random Forest,1,0.06186666666666665,0.16863372537346533,0.977948717948718
Random Forest,2,0.04893333333333334,0.1823787268296388,0.977555332293666
Random Forest,3,0.048866666666666676,0.20054342838065445,0.9599319208289054
Random Forest,4,0.11933333333333332,0.3279339364363906,0.9072783185162477
Random Forest,5,0.059256756756756804,0.1604522746252993,0.983414205882353
