Feature,Importance
Sleep Duration,0.7940599846612673
Stress Level,0.10086657468328432
Occupation_Doctor,0.03561129768027174
Heart Rate,0.03395713856896081
Daily Steps,0.009011559983033943
Age,0.008434506207733417
Occupation_Accountant,0.00514291083576158
BMI Category_Normal,0.0028391497937769305
Diastolic BP,0.00176258188600713
Systolic BP,0.0012540837293190212
Physical Activity Level,0.00120581659921936
BMI Category_Overweight,0.0009700040098902907
Occupation_Engineer,0.0009313456105086061
Occupation_Teacher,0.0009188890548150105
Occupation_Scientist,0.0008553237811465706
Sleep Disorder_Sleep Apnea,0.0005791182036714385
Occupation_Lawyer,0.0004373033052040246
BMI Category_Obese,0.00028121253168304143
Gender_Female,0.0002576281646417694
Occupation_Salesperson,0.0002003235539096798
Sleep Disorder_nan,0.00014263892896275028
Sleep Disorder_Insomnia,0.0001253807457714394
Gender_Male,7.582645540620468e-05
Occupation_Nurse,5.612466566197266e-05
Occupation_Manager,2.3276360091920243e-05
Occupation_Sales Representative,0.0
Occupation_Software Engineer,0.0
