Feature,Permutation Importance Mean,Permutation Importance Std
Sleep Duration,1.1514182035116665,0.1912234617811112
Stress Level,0.12474891733443322,0.027013903925776885
Occupation_Doctor,0.055020754772566544,0.011466439080952242
Heart Rate,0.04732956487155315,0.010316611209377501
Daily Steps,0.0174044602875324,0.004070219747942464
Age,0.014063936189017206,0.003979951252818817
Occupation_Accountant,0.005156846570822534,0.0021286223639848103
BMI Category_Normal,0.005084808802733905,0.0021341539447688835
Physical Activity Level,0.003683508131039352,0.0013625056212680003
Occupation_Engineer,0.0014809907494697202,0.000493412902881907
Occupation_Lawyer,0.0005358899952863539,0.00016449927357624542
Sleep Disorder_Sleep Apnea,0.0004980040655196897,0.00044202987091323794
Sleep Disorder_nan,0.000101822118783886,5.772734931991747e-05
Occupation_Nurse,3.969037237804285e-05,2.9276535008272346e-05
BMI Category_Obese,3.2973426820626095e-05,7.849060493969731e-05
Occupation_Salesperson,2.7523273627168738e-05,2.8628879476142863e-05
Gender_Male,1.6232618430359982e-05,1.14249904577826e-05
Occupation_Manager,0.0,0.0
Occupation_Sales Representative,0.0,0.0
Occupation_Scientist,0.0,0.0
Occupation_Software Engineer,0.0,0.0
Gender_Female,-2.7103464529646774e-06,4.8173479828983344e-05
Occupation_Teacher,-1.7035411265616437e-05,0.00024400613654417428
Sleep Disorder_Insomnia,-5.604819703041534e-05,8.360665975085657e-05
Diastolic BP,-9.969361300966965e-05,0.0005363444317870582
Systolic BP,-0.00010272065755361585,0.0003052410997427626
BMI Category_Overweight,-0.0002445424817346072,0.0011391495011627588
