Feature,Mean_Coefficient,Std_Coefficient,Min_Coefficient,Max_Coefficient,Fold_Count,Absolute_Mean_Coefficient,Sign_Stable
numeric__Stress Level,-0.8329639738940854,0.04194472753552981,-0.8923806877068844,-0.783155630870504,5,0.8329639738940854,True
categorical__BMI Category_Overweight,-0.6384673610599578,0.08089281203681008,-0.7361263755941385,-0.5489091010607341,5,0.6384673610599578,True
categorical__Occupation_Sales Representative,-0.6280673788273214,0.1506196359367707,-0.8311011305702767,-0.4670367574751285,4,0.6280673788273214,True
categorical__Occupation_Teacher,-0.534459636580009,0.0825565960299343,-0.6563643365359875,-0.47068427056087436,5,0.534459636580009,True
categorical__Occupation_Salesperson,-0.5227841707711856,0.12640834087255853,-0.7358398659407955,-0.416941012313367,5,0.5227841707711856,True
numeric__Age,0.47508617362988764,0.035935388179938875,0.41193299501461267,0.5022516871964742,5,0.47508617362988764,True
categorical__BMI Category_Obese,-0.4288214899702412,0.25137251559057644,-0.7105951885194774,-0.04594609399303818,5,0.4288214899702412,True
categorical__Gender_Male,0.35435732536565523,0.07766959178498556,0.28132279090440643,0.4398587511812308,5,0.35435732536565523,True
categorical__Occupation_Engineer,-0.3357433514230727,0.060754041148176674,-0.403894720087463,-0.26664531139850056,5,0.3357433514230727,True
categorical__Occupation_Scientist,-0.335172913138272,0.20059655897907283,-0.6033483958171815,-0.10571697583555192,5,0.335172913138272,True
categorical__Occupation_Nurse,-0.16589308248252654,0.12189927108063296,-0.3213359083503495,-0.007659573785789655,5,0.16589308248252654,True
categorical__Occupation_Software Engineer,-0.119969380274318,0.12342204934621302,-0.2710398232209285,-0.008641565353230867,5,0.119969380274318,True
numeric__Heart Rate,-0.09898043019100955,0.043978326293154194,-0.15847915611055896,-0.050735694933901475,5,0.09898043019100955,True
categorical__Occupation_Doctor,-0.09276087401684648,0.07530738311465102,-0.2095619486013215,-0.0014535542338128885,5,0.09276087401684648,True
categorical__Occupation_Lawyer,-0.08618829021590471,0.09225687119218356,-0.1725773751821147,0.05823385837024003,5,0.08618829021590471,False
categorical__Occupation_Manager,-0.07009319810487041,0.06905463312484028,-0.15239948559212055,0.01655638528740207,4,0.07009319810487041,False
numeric__Physical Activity Level,0.06103938782661402,0.02697906268493621,0.02781748077429524,0.10040903913585378,5,0.06103938782661402,True
numeric__Daily Steps,0.03839378532180167,0.03176520279494798,-0.00016529560681450054,0.08300021825377588,5,0.03839378532180167,False
